bikes_rented,temp,humidity,wind_speed,visibility,dew_temp,solar_rad,rainfall,snowfall
254,-5.2,37,2.2,2000,-17.6,0,0,0
204,-5.5,38,0.8,2000,-17.6,0,0,0
173,-6,39,1,2000,-17.7,0,0,0
107,-6.2,40,0.9,2000,-17.6,0,0,0
78,-6,36,2.3,2000,-18.6,0,0,0
100,-6.4,37,1.5,2000,-18.7,0,0,0
181,-6.6,35,1.3,2000,-19.5,0,0,0
460,-7.4,38,0.9,2000,-19.3,0,0,0
930,-7.6,37,1.1,2000,-19.8,0.01,0,0
490,-6.5,27,0.5,1928,-22.4,0.23,0,0
339,-3.5,24,1.2,1996,-21.2,0.65,0,0
360,-0.5,21,1.3,1936,-20.2,0.94,0,0
449,1.7,23,1.4,2000,-17.2,1.11,0,0
451,2.4,25,1.6,2000,-15.6,1.16,0,0
447,3,26,2,2000,-14.6,1.01,0,0
463,2.1,36,3.2,2000,-11.4,0.54,0,0
484,1.2,54,4.2,793,-7,0.24,0,0
555,0.8,58,1.6,2000,-6.5,0.08,0,0
862,0.6,66,1.4,2000,-5,0,0,0
600,0,77,1.7,2000,-3.5,0,0,0
426,-0.3,79,1.5,1913,-3.5,0,0,0
405,-0.8,81,0.8,1687,-3.6,0,0,0
398,-0.9,83,1.5,1380,-3.4,0,0,0
323,-1.3,84,1,1265,-3.6,0,0,0
328,-1.8,87,1.1,994,-3.6,0,0,0
308,-2.2,86,0.6,990,-4.2,0,0,0
262,-2.9,86,1.5,1256,-4.9,0,0,0
167,-3.5,81,2.2,1221,-6.2,0,0,0
89,-3.8,79,2,1167,-6.9,0,0,0
79,-4,79,1.5,1202,-7.1,0,0,0
70,-4.3,82,2.1,1178,-6.9,0,0,0
146,-4.4,81,2.5,1276,-7.1,0,0,0
219,-4.2,79,2.1,1436,-7.3,0.01,0,0
328,-2.9,68,1.6,1487,-7.9,0.3,0,0
334,-0.4,57,1.6,1309,-7.8,0.8,0,0
388,1.9,49,1.8,1406,-7.7,1,0,0
479,4.3,41,1.3,1666,-7.8,1.09,0,0
606,6,36,1.8,1780,-7.9,1.12,0,0
611,7.3,35,1.3,1955,-7.1,0.99,0,0
589,7.6,41,2.3,1953,-4.8,0.74,0,0
618,6.4,48,2.6,1945,-3.8,0.22,0,0
572,6,51,2.5,1891,-3.3,0.06,0,0
489,5.5,53,1.5,1697,-3.3,0,0,0
385,5,52,2.3,1666,-4,0,0,0
359,4.6,51,1.2,1585,-4.6,0,0,0
377,4.1,55,1.2,1448,-4.1,0,0,0
354,3.5,54,1.5,1446,-4.9,0,0,0
366,4,56,1,1352,-4,0,0,0
342,4,58,1.4,1296,-3.5,0,0,0
227,3.9,69,1.7,485,-1.2,0,0,0
228,3.3,79,1.4,830,0,0,0,0
117,3.4,71,1.6,1011,-1.3,0,0.5,0
76,3.5,73,1,1060,-0.8,0,0,0
32,3.9,75,1.9,914,-0.1,0,0,0
13,3.4,86,2.5,278,1.2,0,1,0
22,3.1,91,1.2,129,1.7,0,0,0
85,3.2,92,1.8,244,2,0,0,0
152,3.5,91,1.8,231,2.1,0.02,2.5,0
200,4.4,89,2.2,257,2.7,0.24,0,0
273,5.1,87,1.4,321,3.1,0.25,0,0
333,5.8,85,1.7,349,3.4,0.43,0,0
495,6.8,81,1.9,390,3.7,0.6,0,0
563,7.6,76,1.2,422,3.6,0.69,0,0
621,8,73,1.6,433,3.4,0.53,0,0
598,7.6,77,1.6,399,3.8,0.2,0,0
545,6.7,82,1.5,358,3.8,0.05,0,0
443,6,84,1.9,327,3.4,0,0,0
422,5.7,85,1.7,309,3.3,0,0,0
397,5.2,87,1.4,253,3.2,0,0,0
385,4.7,87,1.2,247,2.7,0,0,0
350,4.3,89,1.8,201,2.6,0,0,0
303,3.9,90,1.3,194,2.4,0,0,0
285,4.2,88,0.6,216,2.3,0,0,0
186,4.3,87,0.5,221,2.3,0,0,0
112,4.4,87,1.8,207,2.4,0,0,0
65,3.6,85,2.3,206,1.3,0,0,0
41,2.8,89,1.5,130,1.1,0,0,0
82,2,83,2.7,253,-0.5,0,0,0
200,1.2,76,3.7,371,-2.5,0,0.1,0
498,0.2,68,3.4,702,-5,0,0,0
937,-0.8,69,3.5,954,-5.7,0.01,0,0
509,-1.5,47,4.2,1888,-11.3,0.22,0,0
311,-1.1,40,4.5,2000,-13,0.64,0,0
379,-0.5,41,4.1,1799,-12.1,0.94,0,0
393,-0.3,38,4.8,1823,-12.9,1.11,0,0
391,0,30,5.4,1938,-15.5,1.17,0,0
338,0.1,27,4.5,2000,-16.7,1.09,0,0
341,-0.1,25,5.8,2000,-17.8,0.88,0,0
375,-0.2,23,4.7,2000,-18.8,0.55,0,0
515,-1.3,26,5.3,2000,-18.3,0.18,0,0
807,-2.1,29,3.9,2000,-17.7,0,0,0
568,-2.9,32,3.2,2000,-17.3,0,0,0
398,-3.6,38,3,2000,-15.8,0,0,0
397,-4.6,43,4.5,2000,-15.3,0,0,0
353,-5.3,45,2.5,2000,-15.3,0,0,0
248,-5.8,44,2.4,2000,-16.1,0,0,0
216,-6.1,42,2.6,2000,-16.9,0,0,0
198,-6.5,41,2.8,2000,-17.6,0,0,0
124,-6.8,41,2.5,2000,-17.8,0,0,0
62,-6.9,39,2,2000,-18.5,0,0,0
42,-7.2,34,3,2000,-20.4,0,0,0
82,-7.4,33,2.6,2000,-20.9,0,0,0
172,-7.4,34,3.2,2000,-20.6,0,0,0
381,-7.5,33,2.2,2000,-21,0,0,0
812,-8.1,36,1.6,2000,-20.5,0.01,0,0
462,-7.6,31,1.3,1974,-21.8,0.21,0,0
269,-5.5,26,2.8,1967,-22,0.64,0,0
381,1.6,57,1.2,1261,-6,0.93,0,0
405,2.4,52,0.9,1224,-6.4,1.08,0,0
442,4.2,47,1.1,1469,-6.1,1.1,0,0
416,5.5,34,1,1966,-9.1,0.96,0,0
412,5.5,31,3.1,1968,-10.3,0.72,0,0
496,5.3,37,2.9,2000,-8.2,0.36,0,0
239,4.1,60,2.5,1565,-2.9,0.1,0,0
204,1.7,90,1,66,0.2,0,0.3,0.3
205,1.2,92,0.7,180,0,0,0,1
190,1.2,94,0.6,228,0.3,0,0,1
165,1.1,92,0.5,235,0,0,0.7,1
222,1.3,92,0.6,233,0.1,0,0,1
193,1.3,92,0.6,209,0.1,0,0,1
198,1.4,92,0.5,240,0.2,0,0,0.9
218,1.5,92,0.4,227,0.3,0,0,0.9
149,1.4,92,0.7,168,0.2,0,0,0.9
102,1.9,91,1.4,218,0.5,0,0,0.9
62,1.6,92,0.7,119,0.4,0,0,0.9
83,1.5,92,1.1,175,0.3,0,0,0.9
137,1,93,0.5,148,0,0,0,0.9
367,0.3,93,0.5,173,-0.7,0,0,0.9
754,-0.2,96,0.8,173,-0.7,0.01,0,0.8
415,0.1,91,0.8,265,-1.1,0.14,0,0.8
321,1.1,83,0.7,311,-1.4,0.41,0,0.7
333,2.3,69,1.7,628,-2.8,0.63,0,0.6
431,3.7,65,2.4,833,-2.2,0.98,0,0.3
394,4.1,37,3.1,1767,-9.3,1.14,0,0
390,4.4,36,2.7,1975,-9.4,1.04,0,0
430,4,35,3.1,1962,-10.1,0.84,0,0
471,3.2,38,2.9,1817,-9.7,0.51,0,0
552,2.1,50,2,1434,-7.2,0.15,0,0
795,0.7,46,2.7,1558,-9.6,0,0,0
507,-0.4,47,2.5,1269,-10.3,0,0,0
390,-1.4,47,2.5,1620,-11.2,0,0,0
402,-2.2,46,2.2,1975,-12.2,0,0,0
389,-2.7,48,2.6,1844,-12.2,0,0,0
259,-3.2,50,2.1,1887,-12.1,0,0,0
233,-3.5,49,2.6,1893,-12.6,0,0,0
230,-3.7,50,2.5,1902,-12.6,0,0,0
131,-4.3,53,1,1918,-12.4,0,0,0
99,-4.8,52,1.6,1978,-13.1,0,0,0
71,-5.3,53,2.4,1936,-13.4,0,0,0
84,-5.8,56,2,1941,-13.1,0,0,0
158,-6,56,3.5,1853,-13.3,0,0,0
387,-6.5,57,0.8,1776,-13.6,0,0,0
780,-7,59,0.8,1559,-13.6,0.01,0,0
395,-6.7,50,0.9,1492,-15.4,0.23,0,0
261,-5.3,44,2.8,1516,-15.6,0.63,0,0
310,-3.7,39,1.4,1595,-15.6,0.93,0,0
355,-2,30,1.4,1728,-17.3,1.14,0,0
354,-1.7,28,1.8,1963,-17.8,1.22,0,0
350,-1.3,27,3.1,1906,-17.9,1.12,0,0
362,-0.8,26,3.3,1977,-17.9,0.87,0,0
401,-1.1,24,3.4,2000,-19.1,0.56,0,0
500,-2.4,30,2.7,2000,-17.6,0.18,0,0
752,-3.1,33,1.2,2000,-17.1,0,0,0
477,-3.3,35,1.1,2000,-16.6,0,0,0
384,-3.3,34,1.5,2000,-16.9,0,0,0
336,-3.3,35,0.5,2000,-16.6,0,0,0
347,-3.4,39,1.2,2000,-15.4,0,0,0
275,-3.5,43,0.9,2000,-14.3,0,0,0
267,-3.5,48,0.9,1967,-12.9,0,0,0
296,-4.1,49,0.6,2000,-13.2,0,0,0
237,-4.7,50,0.7,1983,-13.5,0,0,0
169,-4.3,47,0.6,1992,-13.9,0,0,0
96,-4.3,49,0.7,2000,-13.4,0,0,0
56,-4.7,49,0.8,1999,-13.8,0,0,0
76,-5.1,53,0.9,1975,-13.2,0,0,0
127,-5.5,56,0.8,1950,-12.9,0,0,0
222,-5.4,56,0.7,1940,-12.8,0.01,0,0
291,-4.7,48,1,1784,-14,0.23,0,0
273,-2.2,42,1.3,1646,-13.4,0.61,0,0
351,0,45,1.1,1500,-10.5,0.89,0,0
427,2.4,40,0.8,1809,-9.8,1.05,0,0
431,3.9,36,2,1702,-9.8,1.13,0,0
486,4.7,32,2.2,1948,-10.6,1.06,0,0
569,5.2,30,2,1963,-11,0.84,0,0
546,4.4,33,1.6,1963,-10.5,0.4,0,0
481,3.5,37,1.8,1963,-9.8,0.1,0,0
384,2.5,41,1,1974,-9.4,0,0,0
275,1.5,48,0.4,1878,-8.3,0,0,0
298,0.8,51,1.4,1848,-8.2,0,0,0
321,-0.1,55,0.7,1654,-8,0,0,0
289,-0.5,55,0.6,1655,-8.4,0,0,0
265,-0.1,54,1.3,1570,-8.3,0,0,0
326,-0.2,55,1,1629,-8.1,0,0,0
280,-0.2,54,0.5,1747,-8.4,0,0,0
243,0.2,52,0.7,1726,-8.5,0,0,0
169,0.3,53,0.5,1748,-8.1,0,0,0
71,0.4,52,1.6,1816,-8.3,0,0,0
13,0.3,74,1,178,-3.7,0,0,0.7
9,-0.5,90,0.9,91,-1.9,0,2.5,2.7
20,-0.4,92,1.1,121,-1.5,0,0,4
35,-0.2,90,1.2,378,-1.6,0,0,4.1
31,0.2,90,1,305,-1.2,0,1.6,4.3
19,0.5,91,0.4,143,-0.8,0,0,4.3
58,0.9,92,0.9,137,-0.2,0.03,0,3.9
119,2.3,88,0.3,245,0.5,0.28,0,3.1
182,3.3,87,1.1,230,1.3,0.54,0,2.1
235,4.2,85,0.7,325,1.8,0.65,0,1.4
180,6.7,63,4.5,715,0.1,0.35,0,1
214,5.4,71,3.5,622,0.5,0.2,0,0.5
226,3.6,65,4.3,1061,-2.3,0.03,0,0.4
210,2,61,3,2000,-4.7,0,0,0
181,1.6,53,4,2000,-6.9,0,0,0
165,0.6,57,3.9,1954,-6.9,0,0,0
167,0,59,3,1862,-7,0,0,0
152,-1,56,4.7,2000,-8.6,0,0,0
148,-1.4,43,4.3,2000,-12.3,0,0,0
125,-2.5,39,3.4,2000,-14.5,0,0,0
111,-3.4,36,3.8,2000,-16.3,0,0,0
67,-4.2,35,3.4,2000,-17.4,0,0,0
45,-4.7,38,2.4,2000,-16.8,0,0,0
44,-5.2,35,3.2,2000,-18.3,0,0,0
86,-5.6,38,3.2,1974,-17.6,0,0,0
136,-5.9,39,2.9,1979,-17.6,0,0,0
325,-6,39,3.1,1996,-17.7,0,0,0
653,-6,38,3.6,1994,-18,0.01,0,0
326,-5.9,36,5.1,1941,-18.6,0.1,0,0
212,-5.3,32,4.5,2000,-19.4,0.62,0,0
226,-4.7,36,3.8,2000,-17.5,1,0,0
